left,front,right,action
38.75,28.44,91.65,RIGHT
15.31,10.18,24.9,STOP
21.06,56.5,13.36,FORWARD
84.84,29.98,47.51,LEFT
56.67,12.94,63.35,LEFT
27.91,68.92,41.13,FORWARD
97.9,8.77,78.52,LEFT
37.31,79.93,10.98,FORWARD
51.28,23.85,52.47,LEFT
68.87,55.59,39.43,FORWARD
52.76,16.12,88.57,RIGHT
73.78,38.11,113.64,RIGHT
48.07,36.65,50.55,RIGHT
27.45,72.2,51.04,FORWARD
39.95,119.73,112.57,FORWARD
11.98,16.36,24.98,STOP
79.85,27.47,46.38,LEFT
64.91,18.74,56.53,LEFT
12.05,7.98,16.76,STOP
21.44,19.82,20.87,STOP
67.94,36.57,111.2,RIGHT
15.0,14.65,22.53,STOP
24.65,36.28,70.75,RIGHT
78.83,100.71,68.64,FORWARD
12.48,6.59,10.07,STOP
91.71,66.31,113.98,FORWARD
42.9,8.88,93.88,RIGHT
29.57,31.57,96.55,RIGHT
21.62,7.6,20.32,STOP
25.22,15.63,75.97,RIGHT
23.18,10.9,16.94,STOP
17.02,6.49,24.63,STOP
55.65,66.68,13.36,FORWARD
96.67,19.05,29.74,LEFT
79.71,79.27,87.66,FORWARD
16.72,116.77,101.47,FORWARD
26.45,10.69,111.25,RIGHT
119.61,41.98,58.56,LEFT
81.98,44.93,36.3,LEFT
18.37,19.61,5.14,STOP
23.94,14.48,11.62,STOP
13.02,15.12,9.67,STOP
5.46,17.11,13.59,STOP
60.62,32.7,85.71,RIGHT
6.69,12.55,7.01,STOP
48.77,105.04,46.74,FORWARD
39.61,87.63,84.74,FORWARD
43.3,70.94,33.58,FORWARD
91.39,108.4,98.23,FORWARD
106.64,27.12,51.75,LEFT
53.24,55.28,100.44,FORWARD
108.76,18.8,54.53,LEFT
105.03,38.47,62.4,LEFT
69.76,11.79,61.41,LEFT
80.96,22.1,40.91,LEFT
61.79,103.23,82.33,FORWARD
64.07,15.75,31.75,LEFT
16.77,12.41,10.9,STOP
31.41,41.89,68.54,RIGHT
69.88,42.61,35.96,LEFT
114.93,34.71,60.17,LEFT
82.21,36.24,48.97,LEFT
44.42,19.25,83.41,RIGHT
24.49,11.18,22.57,STOP
5.55,10.9,9.54,STOP
11.56,108.63,78.81,FORWARD
14.48,18.85,20.44,STOP
78.38,14.41,54.89,RIGHT
61.61,94.27,50.75,FORWARD
6.35,107.83,74.37,FORWARD
52.35,70.24,36.83,FORWARD
72.74,10.18,76.3,LEFT
60.29,35.9,26.95,LEFT
103.7,9.84,34.34,LEFT
8.52,6.57,13.31,STOP
12.75,8.4,18.96,STOP
117.84,15.66,72.76,LEFT
9.2,95.82,45.79,FORWARD
88.02,17.78,45.53,LEFT
21.18,7.68,5.43,STOP
7.44,6.78,21.16,STOP
52.27,87.17,71.68,FORWARD
13.23,5.06,9.68,STOP
26.75,15.88,110.09,RIGHT
108.9,25.57,73.68,LEFT
36.47,79.91,14.89,FORWARD
15.2,18.64,13.61,STOP
9.3,13.36,7.33,STOP
75.08,17.33,90.39,RIGHT
27.8,12.18,90.89,RIGHT
22.88,19.2,11.75,STOP
118.47,61.15,43.88,FORWARD
115.86,73.33,40.98,FORWARD
109.96,11.8,35.13,LEFT
78.19,101.97,91.06,FORWARD
48.62,8.49,42.75,RIGHT
71.06,93.74,47.84,FORWARD
111.18,15.36,39.92,LEFT
95.73,69.74,44.34,FORWARD
19.34,55.83,31.05,FORWARD
88.5,79.85,30.31,FORWARD
29.29,21.38,105.12,RIGHT
73.7,36.57,65.81,LEFT
85.75,25.51,58.91,LEFT
59.8,34.5,42.05,RIGHT
30.14,18.48,43.22,RIGHT
17.41,111.84,54.86,FORWARD
119.15,40.8,22.15,LEFT
12.71,69.74,53.03,FORWARD
48.53,26.64,42.86,LEFT
97.4,95.85,106.11,FORWARD
46.8,13.9,55.31,LEFT
84.65,38.58,71.79,LEFT
17.98,7.71,24.64,STOP
30.37,39.72,45.47,RIGHT
16.15,14.42,7.4,STOP
19.93,10.83,18.91,STOP
40.0,22.81,92.42,RIGHT
77.0,34.31,104.51,RIGHT
37.6,16.19,108.8,RIGHT
78.51,38.46,66.31,LEFT
24.44,9.57,18.88,STOP
22.61,17.04,6.75,STOP
70.52,30.78,113.41,RIGHT
15.39,14.29,10.8,STOP
23.98,10.91,18.54,STOP
11.65,71.38,80.42,FORWARD
13.18,19.98,20.92,STOP
24.22,9.69,17.03,STOP
79.66,99.6,22.96,FORWARD
13.26,14.78,18.59,STOP
67.02,98.68,29.66,FORWARD
72.46,78.87,62.51,FORWARD
49.98,6.1,64.64,RIGHT
46.24,23.44,100.82,RIGHT
72.36,84.78,49.02,FORWARD
112.66,42.28,42.11,LEFT
42.43,40.6,34.78,LEFT
12.78,100.99,61.33,FORWARD
98.32,23.51,78.0,LEFT
43.55,89.72,40.61,FORWARD
77.78,12.18,84.59,RIGHT
100.57,44.25,54.02,LEFT
97.3,68.72,32.87,FORWARD
9.22,92.21,33.27,FORWARD
19.04,16.26,17.22,STOP
97.21,21.76,63.93,LEFT
103.72,87.38,99.92,FORWARD
41.26,98.14,71.45,FORWARD
5.64,10.64,16.86,STOP
84.94,82.13,50.26,FORWARD
75.09,34.36,60.93,LEFT
69.2,35.78,21.35,LEFT
37.41,112.84,85.38,FORWARD
49.17,25.7,82.13,RIGHT
86.68,96.92,71.9,FORWARD
88.06,33.13,74.51,LEFT
51.2,76.45,114.79,FORWARD
17.92,6.67,23.29,STOP
96.86,86.45,68.96,FORWARD
78.22,77.23,105.73,FORWARD
72.06,34.05,90.71,RIGHT
109.49,16.16,69.48,LEFT
17.13,6.01,14.3,STOP
7.05,17.73,7.37,STOP
64.97,98.51,71.94,FORWARD
28.77,30.0,51.42,RIGHT
55.95,40.53,77.74,RIGHT
54.11,39.74,82.79,RIGHT
68.24,25.51,31.54,LEFT
110.11,26.09,69.8,LEFT
109.59,13.54,75.69,LEFT
23.23,5.97,8.13,STOP
117.53,55.76,93.76,FORWARD
17.29,5.99,20.68,STOP
66.52,19.26,106.7,RIGHT
76.24,59.72,61.14,FORWARD
73.1,35.75,47.58,RIGHT
59.9,21.21,55.72,LEFT
97.25,35.18,44.54,LEFT
98.37,20.0,36.61,LEFT
11.24,12.01,16.7,STOP
54.1,5.73,86.69,RIGHT
84.82,15.65,38.07,LEFT
62.25,97.95,63.06,FORWARD
18.52,15.24,12.11,STOP
72.23,16.74,34.15,LEFT
110.03,58.2,119.47,FORWARD
79.48,27.69,32.12,LEFT
105.82,104.47,21.57,FORWARD
58.13,29.96,100.46,RIGHT
21.46,42.52,111.72,RIGHT
9.46,15.9,22.39,STOP
96.22,37.78,37.13,LEFT
26.46,64.88,7.87,FORWARD
108.15,24.52,75.07,LEFT
64.81,87.9,44.85,FORWARD
11.46,10.79,9.23,STOP
23.89,14.5,5.93,STOP
34.98,24.54,111.42,RIGHT
6.29,11.63,5.83,STOP
92.52,68.68,42.6,FORWARD
23.51,44.87,88.72,RIGHT
19.08,17.48,14.3,STOP
97.0,68.24,67.33,FORWARD
78.28,55.85,38.51,FORWARD
86.82,30.73,20.96,LEFT
105.13,44.55,41.24,LEFT
105.37,74.18,31.26,FORWARD
23.43,18.36,13.16,STOP
76.12,38.98,70.18,LEFT
82.57,12.83,79.56,LEFT
95.05,32.47,68.09,LEFT
61.8,32.98,69.89,LEFT
54.99,42.34,60.2,LEFT
44.28,30.45,34.62,LEFT
74.88,35.95,25.0,LEFT
57.08,31.43,107.89,RIGHT
111.76,94.44,24.74,FORWARD
5.89,5.25,16.11,STOP
115.93,12.56,50.87,LEFT
12.2,12.52,9.92,STOP
30.43,20.73,59.09,RIGHT
16.48,14.11,11.35,STOP
42.84,23.92,69.86,RIGHT
15.95,9.23,16.1,STOP
33.86,118.25,111.1,FORWARD
111.31,117.37,82.32,FORWARD
61.68,69.49,21.86,FORWARD
23.79,43.84,49.53,RIGHT
13.42,16.56,5.34,STOP
39.86,26.47,49.98,RIGHT
8.33,6.08,19.2,STOP
55.44,11.74,30.52,LEFT
84.64,80.8,54.66,FORWARD
47.47,11.99,67.29,LEFT
17.08,10.02,7.48,STOP
100.28,15.28,37.83,LEFT
17.46,11.95,9.45,STOP
50.85,71.68,44.57,FORWARD
24.84,7.96,10.95,STOP
5.54,11.58,18.51,STOP
47.92,80.82,84.92,FORWARD
101.47,36.96,46.19,LEFT
59.94,16.4,66.45,LEFT
95.85,8.77,61.1,LEFT
19.39,19.65,19.64,STOP
54.5,31.72,104.68,RIGHT
20.78,44.17,101.59,RIGHT
9.73,8.36,22.14,STOP
111.59,13.38,30.63,LEFT
65.86,32.8,46.29,LEFT
66.31,14.83,39.24,LEFT
74.84,42.35,91.9,RIGHT
34.11,41.17,117.79,RIGHT
79.44,36.61,48.42,RIGHT
68.84,38.74,30.16,LEFT
97.67,7.18,43.44,LEFT
58.32,11.33,97.05,RIGHT
58.33,12.18,38.13,LEFT
38.3,18.99,49.03,RIGHT
96.83,43.35,28.63,LEFT
78.07,42.65,75.83,LEFT
49.58,99.64,15.51,FORWARD
26.31,16.61,56.92,RIGHT
100.27,56.17,20.34,FORWARD
114.89,56.47,15.51,FORWARD
78.13,5.4,78.47,LEFT
52.94,31.31,33.47,LEFT
30.44,71.28,8.99,FORWARD
52.37,32.66,104.27,RIGHT
15.2,6.7,14.55,STOP
91.96,69.82,117.11,FORWARD
102.75,107.09,55.17,FORWARD
13.2,9.76,8.71,STOP
27.95,10.36,112.3,RIGHT
79.7,36.74,41.49,RIGHT
46.96,26.29,54.88,LEFT
34.83,110.35,70.9,FORWARD
15.19,6.85,10.27,STOP
35.31,20.86,88.32,RIGHT
44.77,29.29,114.77,RIGHT
28.46,34.5,43.89,RIGHT
71.54,40.0,79.18,RIGHT
86.9,105.23,31.4,FORWARD
10.94,79.44,70.19,FORWARD
14.28,14.87,9.92,STOP
78.05,8.06,69.63,LEFT
79.82,28.5,63.44,RIGHT
21.54,14.69,7.47,STOP
29.86,17.04,107.3,RIGHT
20.58,17.97,5.64,STOP
31.11,6.29,42.37,RIGHT
25.91,84.57,76.45,FORWARD
113.53,86.25,36.25,FORWARD
16.5,15.71,15.11,STOP
54.74,103.8,13.44,FORWARD
117.24,108.84,45.77,FORWARD
33.42,70.99,71.77,FORWARD
9.58,18.74,23.88,STOP
5.46,6.42,8.33,STOP
64.74,18.38,91.88,RIGHT
106.49,7.57,59.68,LEFT
118.54,118.75,13.17,FORWARD
17.83,15.13,21.82,STOP
54.94,8.15,44.95,LEFT
16.56,14.14,7.37,STOP
9.82,13.18,11.62,STOP
17.13,15.7,22.18,STOP
103.5,9.86,39.34,LEFT
50.55,44.78,67.09,LEFT
99.58,88.47,30.8,FORWARD
23.16,80.28,70.65,FORWARD
73.4,17.87,41.94,RIGHT
69.24,17.79,119.69,RIGHT
22.65,15.38,101.32,RIGHT
15.88,7.81,8.91,STOP
12.65,9.81,9.47,STOP
76.71,72.08,20.14,FORWARD
24.61,78.14,53.11,FORWARD
73.81,63.18,106.7,FORWARD
21.49,10.98,18.36,STOP
9.52,19.55,23.47,STOP
74.12,24.57,60.81,RIGHT
89.8,69.26,114.64,FORWARD
65.83,35.94,29.66,LEFT
34.18,13.98,43.85,RIGHT
65.32,59.11,17.83,FORWARD
116.5,88.38,28.61,FORWARD
77.17,55.65,110.95,FORWARD
45.88,60.17,106.3,FORWARD
9.4,19.52,7.54,STOP
14.99,13.59,21.2,STOP
10.48,5.32,24.21,STOP
67.29,97.2,80.84,FORWARD
46.69,44.3,43.65,LEFT
61.99,22.87,69.36,LEFT
56.17,37.68,105.31,RIGHT
15.19,116.76,50.43,FORWARD
49.6,34.03,70.37,RIGHT
19.52,99.56,19.99,FORWARD
44.63,41.83,108.47,RIGHT
100.01,27.32,45.5,LEFT
57.36,41.82,56.45,RIGHT
76.34,40.07,56.54,LEFT
16.6,6.74,21.45,STOP
57.8,23.4,45.67,RIGHT
14.7,11.89,14.75,STOP
45.92,37.37,50.5,RIGHT
91.9,20.13,56.11,LEFT
73.27,85.41,56.74,FORWARD
47.67,85.6,68.79,FORWARD
65.91,106.48,34.08,FORWARD
113.76,22.11,26.58,LEFT
107.61,100.68,84.55,FORWARD
46.08,42.31,40.57,LEFT
18.64,12.64,9.12,STOP
62.77,14.4,95.66,RIGHT
73.73,36.86,99.77,RIGHT
15.75,12.92,23.59,STOP
57.3,73.6,82.92,FORWARD
17.07,111.88,71.9,FORWARD
45.06,32.89,44.78,RIGHT
22.99,13.92,16.76,STOP
42.52,24.29,57.29,RIGHT
53.53,28.85,50.24,LEFT
86.51,38.64,44.1,LEFT
13.02,13.55,18.2,STOP
70.49,12.38,47.47,LEFT
92.97,44.09,56.36,LEFT
92.07,23.54,22.23,LEFT
116.25,37.34,41.31,LEFT
31.76,22.96,94.98,RIGHT
12.98,10.78,16.8,STOP
19.01,16.31,12.23,STOP
48.72,24.28,50.07,LEFT
21.09,16.63,51.81,RIGHT
72.33,8.26,62.98,LEFT
109.24,96.39,66.56,FORWARD
28.28,21.99,68.45,RIGHT
70.62,94.26,97.48,FORWARD
30.1,91.19,93.39,FORWARD
28.12,28.0,82.37,RIGHT
18.5,19.37,11.27,STOP
14.67,105.35,86.35,FORWARD
78.76,31.34,73.17,RIGHT
14.4,57.36,96.74,FORWARD
8.51,11.88,23.57,STOP
50.6,85.98,62.38,FORWARD
21.45,8.44,10.06,STOP
30.81,114.69,62.53,FORWARD
23.83,37.85,83.25,RIGHT
53.19,14.94,66.85,RIGHT
12.14,15.77,14.79,STOP
69.36,64.13,29.02,FORWARD
44.94,83.7,52.28,FORWARD
24.01,11.02,18.79,STOP
29.31,36.02,118.95,RIGHT
9.31,5.28,24.56,STOP
41.95,29.37,112.0,RIGHT
76.15,14.47,107.98,RIGHT
68.49,73.97,116.06,FORWARD
59.62,30.46,41.62,LEFT
87.1,21.71,23.22,LEFT
21.33,19.72,11.8,STOP
116.42,104.8,37.72,FORWARD
20.79,5.17,115.07,RIGHT
15.37,19.41,21.15,STOP
46.22,13.84,84.3,RIGHT
62.22,61.17,104.71,FORWARD
73.92,32.58,62.67,RIGHT
74.39,6.31,54.71,LEFT
46.6,35.22,100.4,RIGHT
91.89,60.33,6.04,FORWARD
106.85,22.09,74.22,LEFT
109.69,32.35,79.92,LEFT
21.55,15.92,23.95,STOP
19.11,17.73,9.2,STOP
64.69,5.76,102.4,RIGHT
65.28,30.62,68.58,RIGHT
39.17,78.54,9.63,FORWARD
32.7,11.54,97.34,RIGHT
90.85,78.83,5.23,FORWARD
86.06,96.43,115.44,FORWARD
33.24,34.54,69.67,RIGHT
104.88,13.79,63.86,LEFT
56.03,41.86,100.41,RIGHT
68.4,39.68,58.23,RIGHT
53.72,44.91,77.5,LEFT
75.54,58.4,43.56,FORWARD
54.94,42.14,66.25,LEFT
77.23,5.11,68.29,RIGHT
59.58,8.75,45.91,LEFT
72.15,16.15,92.09,RIGHT
76.54,112.28,118.79,FORWARD
62.13,29.38,111.96,RIGHT
55.62,111.33,64.65,FORWARD
65.2,31.6,63.0,LEFT
66.25,27.11,75.98,LEFT
115.13,99.89,84.39,FORWARD
77.93,21.63,66.33,RIGHT
66.08,86.54,52.24,FORWARD
51.33,86.54,112.03,FORWARD
78.94,7.35,40.26,RIGHT
46.93,55.24,116.16,FORWARD
77.25,17.88,98.78,RIGHT
27.15,22.8,110.82,RIGHT
96.21,25.71,54.1,LEFT
107.71,16.67,52.19,LEFT
65.16,15.49,61.42,LEFT
78.04,72.79,36.16,FORWARD
65.19,7.19,64.6,RIGHT
50.04,19.87,90.47,RIGHT
61.79,73.42,67.84,FORWARD
19.12,6.66,22.11,STOP
84.42,32.37,30.28,LEFT
74.67,44.42,75.52,RIGHT
60.55,23.13,58.5,LEFT
6.66,7.13,7.91,STOP
78.42,19.45,25.57,LEFT
72.58,30.76,111.63,RIGHT
40.08,27.42,29.1,LEFT
13.34,5.8,7.88,STOP
24.05,14.95,9.81,STOP
103.9,27.97,49.01,LEFT
82.92,27.29,40.77,LEFT
5.44,16.29,7.36,STOP
85.27,43.46,79.38,LEFT
8.65,8.51,15.83,STOP
11.05,7.01,12.97,STOP
94.06,41.47,67.82,LEFT
24.34,5.49,5.62,STOP
110.14,104.81,23.43,FORWARD
116.25,20.75,38.98,LEFT
50.31,22.05,58.01,LEFT
105.05,16.84,69.69,LEFT
55.68,10.69,110.98,RIGHT
49.47,66.1,106.39,FORWARD
74.13,35.82,115.14,RIGHT
53.68,23.83,55.65,LEFT
59.29,17.84,41.86,RIGHT
46.1,9.38,73.67,RIGHT
13.67,17.8,18.75,STOP
36.42,114.3,34.02,FORWARD
39.41,7.22,49.46,RIGHT
17.45,7.51,20.71,STOP
27.28,15.87,104.88,RIGHT
12.08,16.33,19.17,STOP
58.9,81.37,84.45,FORWARD
42.67,35.22,68.75,LEFT
106.3,85.02,102.88,FORWARD
5.98,12.75,7.37,STOP
79.7,18.35,46.32,LEFT
6.86,19.24,8.83,STOP
96.4,88.09,31.88,FORWARD
24.6,11.4,20.4,STOP
9.93,5.11,7.87,STOP
6.76,9.85,10.2,STOP
50.65,6.72,100.68,RIGHT
13.47,14.7,22.91,STOP
59.95,6.57,103.8,RIGHT
118.21,82.76,76.62,FORWARD
80.72,13.87,57.24,LEFT
111.09,27.75,57.68,LEFT
10.54,84.37,53.22,FORWARD
47.4,81.83,82.65,FORWARD
20.35,83.51,68.33,FORWARD
74.47,28.19,53.83,RIGHT
88.05,66.12,85.68,FORWARD
81.69,68.67,111.08,FORWARD
21.82,19.47,19.6,STOP
118.51,35.78,79.57,LEFT
118.79,19.4,32.61,LEFT
88.57,79.66,50.28,FORWARD
19.32,7.11,9.22,STOP
78.3,105.56,41.93,FORWARD
64.12,6.46,58.29,RIGHT
9.33,19.22,18.21,STOP
81.32,67.93,116.99,FORWARD
12.27,15.32,23.09,STOP
73.27,29.52,24.59,LEFT
68.1,87.27,23.44,FORWARD
82.79,72.06,61.24,FORWARD
16.65,10.88,5.34,STOP
66.77,111.22,50.75,FORWARD
15.82,17.69,7.4,STOP
21.4,8.72,11.48,STOP
13.53,18.19,13.4,STOP
66.14,19.8,117.96,RIGHT
48.35,16.15,41.17,LEFT
27.56,28.8,61.83,RIGHT
62.91,25.97,109.93,RIGHT
60.28,13.43,72.04,LEFT
20.81,11.78,13.88,STOP
49.2,82.92,38.25,FORWARD
72.94,38.13,40.43,RIGHT
53.51,110.75,21.42,FORWARD
63.33,99.85,115.02,FORWARD
42.68,32.19,34.62,LEFT
73.13,63.21,69.01,FORWARD
5.22,18.7,13.46,STOP
43.09,34.7,66.56,RIGHT
23.62,17.99,93.0,RIGHT
71.46,28.31,70.14,RIGHT
26.41,68.93,61.11,FORWARD
76.79,81.51,106.73,FORWARD
9.14,16.27,18.89,STOP
67.4,12.34,75.87,RIGHT
91.35,83.64,33.64,FORWARD
42.45,29.15,80.19,RIGHT
19.58,7.94,17.61,STOP
87.18,88.12,12.64,FORWARD
115.1,10.42,62.16,LEFT
60.65,16.28,58.33,RIGHT
18.4,15.65,16.13,STOP
92.9,23.9,61.04,LEFT
57.96,38.5,76.28,RIGHT
106.23,41.27,72.78,LEFT
65.22,44.17,72.59,RIGHT
24.48,10.91,8.08,STOP
9.94,15.64,18.15,STOP
111.3,18.58,61.26,LEFT
6.52,12.75,17.74,STOP
21.27,13.6,16.28,STOP
8.86,106.53,61.67,FORWARD
77.96,8.26,78.76,RIGHT
68.71,34.72,102.31,RIGHT
12.97,17.6,5.82,STOP
20.98,15.33,7.5,STOP
16.39,17.23,25.0,STOP
55.73,30.24,57.55,RIGHT
106.66,26.76,75.13,LEFT
65.16,33.77,76.02,LEFT
50.23,21.26,60.04,RIGHT
22.87,18.89,15.74,STOP
102.91,73.03,86.58,FORWARD
81.67,15.97,74.67,LEFT
61.72,8.67,58.9,RIGHT
107.48,117.98,85.46,FORWARD
49.97,20.34,76.27,LEFT
24.08,10.49,18.26,STOP
85.14,34.96,38.25,LEFT
16.93,8.93,19.3,STOP
62.82,17.61,43.71,LEFT
94.35,32.27,39.54,LEFT
15.7,17.04,16.87,STOP
31.3,16.0,62.29,RIGHT
28.65,28.63,75.69,RIGHT
49.51,17.02,68.15,LEFT
104.51,88.47,83.71,FORWARD
86.28,71.24,19.6,FORWARD
108.19,17.73,23.16,LEFT
71.55,57.74,73.83,FORWARD
5.55,16.08,17.68,STOP
103.94,8.77,36.08,LEFT
99.69,31.5,33.27,LEFT
20.54,99.82,63.39,FORWARD
49.29,66.31,18.27,FORWARD
85.63,24.84,31.11,LEFT
92.53,112.71,25.72,FORWARD
16.6,9.28,24.86,STOP
96.54,16.24,49.91,LEFT
51.32,7.06,65.05,LEFT
44.04,44.73,85.44,RIGHT
76.05,21.67,47.34,LEFT
10.66,19.16,15.05,STOP
40.89,23.95,88.21,RIGHT
